NAME_0,NAME_1,NAME_2,lang
India,Andhra Pradesh,Anantapur,te
India,Andhra Pradesh,Chittoor,te
India,Andhra Pradesh,Cuddapah,te
India,Andhra Pradesh,East Godavari,te
India,Andhra Pradesh,Guntur,te
India,Andhra Pradesh,Krishna,te
India,Andhra Pradesh,Kurnool,te
India,Andhra Pradesh,Nellore,te
India,Andhra Pradesh,Prakasam,te
India,Andhra Pradesh,Srikakulam,te
India,Andhra Pradesh,Vishakhapatnam,te
India,Andhra Pradesh,Vizianagaram,te
India,Andhra Pradesh,West Godavari,te
India,Telangana,Adilabad,te
India,Telangana,Hyderabad,te
India,Telangana,Karimnagar,te
India,Telangana,Khammam,te
India,Telangana,Mahbubnagar,te
India,Telangana,Medak,te
India,Telangana,Nalgonda,te
India,Telangana,Nizamabad,te
India,Telangana,Rangareddi,te
India,Telangana,Warangal,te
India,Tamil Nadu,Ariyalur,ta
India,Tamil Nadu,Chennai,ta
India,Tamil Nadu,Coimbatore,ta
India,Tamil Nadu,Cuddalore,ta
India,Tamil Nadu,Dharmapuri,ta
India,Tamil Nadu,Dindigul,ta
India,Tamil Nadu,Erode,ta
India,Tamil Nadu,Kancheepuram,ta
India,Tamil Nadu,Kanniyakumari,ta
India,Tamil Nadu,Karur,ta
India,Tamil Nadu,Madurai,ta
India,Tamil Nadu,Nagapattinam,ta
India,Tamil Nadu,Namakkal,ta
India,Tamil Nadu,Nilgiris,ta
India,Tamil Nadu,Perambalur,ta
India,Tamil Nadu,Pudukkottai,ta
India,Tamil Nadu,Ramanathapuram,ta
India,Tamil Nadu,Salem,ta
India,Tamil Nadu,Sivaganga,ta
India,Tamil Nadu,Thanjavur,ta
India,Tamil Nadu,Theni,ta
India,Tamil Nadu,Thiruvallur,ta
India,Tamil Nadu,Thiruvarur,ta
India,Tamil Nadu,Thoothukudi,ta
India,Tamil Nadu,Tiruchchirappalli,ta
India,Tamil Nadu,Tirunelveli Kattabo,ta
India,Tamil Nadu,Tiruvannamalai,ta
India,Tamil Nadu,Vellore,ta
India,Tamil Nadu,Villupuram,ta
India,Tamil Nadu,Virudhunagar,ta
India,Karnataka,Bagalkot,kn
India,Karnataka,Bangalore Rural,kn
India,Karnataka,Bangalore Urban,kn
India,Karnataka,Belgaum,kn
India,Karnataka,Bellary,kn
India,Karnataka,Bidar,kn
India,Karnataka,Bijapur,kn
India,Karnataka,Chamrajnagar,kn
India,Karnataka,Chikmagalur,kn
India,Karnataka,Chitradurga,kn
India,Karnataka,Dakshin Kannad,kn
India,Karnataka,Davanagere,kn
India,Karnataka,Dharwad,kn
India,Karnataka,Gadag,kn
India,Karnataka,Gulbarga,kn
India,Karnataka,Hassan,kn
India,Karnataka,Haveri,kn
India,Karnataka,Kodagu,kn
India,Karnataka,Kolar,kn
India,Karnataka,Koppal,kn
India,Karnataka,Mandya,kn
India,Karnataka,Mysore,kn
India,Karnataka,Raichur,kn
India,Karnataka,Shimoga,kn
India,Karnataka,Tumkur,kn
India,Karnataka,Udupi,kn
India,Karnataka,Uttar Kannand,kn
India,Kerala,Alappuzha,ml
India,Kerala,Ernakulam,ml
India,Kerala,Idukki,ml
India,Kerala,Kannur,ml
India,Kerala,Kasaragod,ml
India,Kerala,Kollam,ml
India,Kerala,Kottayam,ml
India,Kerala,Kozhikode,ml
India,Kerala,Malappuram,ml
India,Kerala,Palakkad,ml
India,Kerala,Pattanamtitta,ml
India,Kerala,Thiruvananthapuram,ml
India,Kerala,Thrissur,ml
India,Kerala,Wayanad,ml
